Test          MVS          VMM          Deviation (%)
ks_4_0  19          19         0
ks_19_0  11080          0         -100
ks_10000_0  993511          1102797         11
ks_1000_0  99124          111201         12.1837
ks_100_0  93045          90000         -3.27261
ks_100_1  1272176          1332540         4.74494
ks_100_2  9816          10892         10.9617
ks_200_0  99090          100236         1.15652
ks_200_1  1067697          1102912         3.29822
ks_300_0  1638698          1688456         3.03644
ks_30_0  99045          90000         -9.13221
ks_400_0  3879439          3966236         2.23736
ks_40_0  99090          99924         0.841659
ks_45_0  20939          0         -100
ks_500_0  48984          54921         12.1203
ks_50_0  132960          140988         6.03791
ks_50_1  4630          5339         15.3132
ks_60_0  99045          90000         -9.13221
